idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
100,positive,0.9985484367934988,0.999066174030304,0.6,0.6,0.625,0.4,0,0.6,0.9999474577850392,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.8023683927937231
101,positive,0.5931149289244786,0.5936223268508911,0.8,0.8,0.625,0.1999999999999999,0,0.8,0.5971471967397124,0.9975062344139672,0.7132667617689025,0.9975062344139672,0.8263566068341374
102,negative,0.8409761786460876,0.9982556700706482,0.8,0.8,0.375,0.1999999999999999,0,0.8,0.8433986144275148,0.9975062344139672,0.4279600570613415,0.9975062344139672,0.8165927850791977
103,neutral,-0.0008153319358825,0.9981549382209778,0.2,0.4,0.375,0.8,0,0.19999999999999996,0.007074448745335753,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.2334469057534152
104,negative,0.9368693116120994,0.9409728050231934,0.8,0.6,0.625,0.1999999999999999,0,0.8,0.9386689318568336,0.9975062344139672,0.7132667617689025,0.9975062344139672,0.9117370406134176
105,neutral,7.784366607666016e-05,0.999098539352417,0.4,0.6,0.25,0.6,0,0.4,0.007961823268274036,0.4987531172069836,0.285306704707561,0.4987531172069836,0.32269369059745057
106,negative,0.9977005062974058,0.9985930323600768,0.4,0.4,0.375,0.6,0,0.4,0.9991050345058935,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6061428314953006
107,positive,0.998394917405676,0.9990411400794984,0.4,0.6,0.625,0.6,0,0.4,0.9997949354890515,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6776419829179803
108,negative,0.9742371719330548,0.9984130859375,0.4,0.6,0.25,0.6,0,0.4,0.9757940919628622,0.4987531172069836,0.285306704707561,0.4987531172069836,0.5646517577710976
109,positive,0.9971625034231693,0.9990195035934448,0.6,0.8,0.75,0.4,0,0.6,0.9985705259021901,0.7481296758104754,0.855920114122683,0.7481296758104754,0.8376874979114559
110,positive,0.0001201033592224,0.9974188804626464,0.4,0.4,0.5,0.6,0,0.4,0.008003808489279248,0.4987531172069836,0.570613409415122,0.4987531172069836,0.3940308630795921
